Workflow,Change Orig (Ceph),Change CWS (Ceph),Change WOW (Ceph),Change Orig (NFS),Change CWS (NFS),Change WOW (NFS),Change CPU Alloc Orig (Ceph),Change CPU Alloc CWS (Ceph),Change CPU Alloc WOW (Ceph),Change CPU Used Orig (Ceph),Change CPU Used CWS (Ceph),Change CPU Used WOW (Ceph),Change CPU Alloc Orig (NFS),Change CPU Alloc CWS (NFS),Change CPU Alloc WOW (NFS),Change CPU Used Orig (NFS),Change CPU Used CWS (NFS),Change CPU Used WOW (NFS)
All in One,-45.9940148653088,-46.15023065081289,-34.108140180064886,-49.53286864317942,-49.58979672640737,-33.08329511638859,-45.151477772584734,-42.141005504446994,9.509716553163233,-6.639364507428224,-0.3701054307335418,-21.30649615644232,-44.4229758203728,-45.98817733791276,7.964892874829646,-6.620867931125576,-10.761952001730418,-21.828915711145495
Chain,-27.495809414762206,-27.41790748142542,-2.036253959593204,-50.88175790882617,-49.351144628586944,1.097225263553039,-26.83851543184767,-31.45110240063961,0.8704756821121352,-3.4450023930230724,-0.30947344586243847,1.9956947160255816,-53.87288468719104,-58.686979785639494,0.21164093408749815,-7.284065700645245,-7.592748499644511,0.3247220113297711
Chip-Seq,-7.877545824098867,-10.519077105209531,0.03066021332847472,-31.51718215158245,-34.00768726570529,-9.644314245938913,-5.497423412342678,-6.948105496248703,-0.18469057951652085,0.5176907815807019,0.058241414846282175,0.016035812141763243,-32.51101013663836,-33.88176932208507,-8.266094227540481,2.8163526185067718,0.045432950700025614,-0.38021878594633235
Fork,-27.659810178621814,-28.744560256437474,-22.366384513415237,-47.459424130628555,-46.92674151935913,-16.80739623839378,-15.274959911829663,3.6341349558435327,-1.2325464882409107,-5.394009469128186,1.1477334574515017,0.9499651969667005,-56.57198148514079,-58.442962596634615,0.5668701252779119,-1.7161580173341402,-0.44372992162678554,0.6572266518519229
Group,-34.871405890029536,-33.50409484554272,-23.030089455136892,-50.052309613044045,-47.14475723237168,-28.23404524200682,-28.320407064748448,-27.87115672542954,2.960226603611026,1.1693688324524256,1.9657249675318955,4.566065624544451,-51.716714496292326,-51.214442514093584,1.1400911817176116,-0.15952296694115828,-0.3509719332399905,1.48958509414253
Group Multiple,-33.684472759816884,-36.97500847237218,-27.148325659107485,-48.795273027077904,-48.60370742805659,-32.692314660810894,-30.506488825504995,-29.287777903012564,4.022206208129822,0.5689603376085443,2.9756024465712003,2.966920794626029,-49.64401588123983,-51.384371289933426,1.9047704900299407,-0.4487037517272814,-0.7401173731060832,2.1110899248384256
